TeacherID,ExperienceYears,EducationLevel,PayScheme,BaseSalary,BonusReceived,JobSatisfactionScore,StressLevelScore,RetentionStatus,SchoolID,Region,SchoolType,StudentSES,AvgStudentPerformance,BudgetPerStudent
3,27,Masters,Performance-Based,72000,6614.834722165602,5.328430601419743,9.003532287934089,Left,92,Suburban,Charter,High,79.68644990532889,10983.83834301301
4,11,Doctorate,Traditional,61000,0.0,7.707532157796761,2.705353545240788,Stayed,143,Suburban,Private,Low,53.92516765438772,5865.115799920247
4,20,Doctorate,Traditional,70000,0.0,8.206658665166298,4.764179159953324,Stayed,277,Suburban,Charter,High,71.9905969557347,10471.229116217131
4,17,Bachelors,Performance-Based,57000,3563.3931676585025,7.811775222981006,5.491298225944227,Stayed,297,Rural,Public,Medium,78.9959987543325,9460.250129413258
4,17,Masters,Traditional,62000,0.0,6.017335349213602,4.596666964167754,Stayed,264,Urban,Public,High,59.756123586657104,9347.952935664318
4,28,Masters,Traditional,73000,0.0,5.340211136887494,2.990557252709313,Stayed,100,Rural,Charter,Medium,67.65412866624852,12475.632623946924
5,7,Masters,Traditional,52000,0.0,7.223335341478335,3.9836506808994394,Stayed,161,Urban,Charter,Low,60.253183297726785,13929.450265832778
5,23,Masters,Traditional,68000,0.0,7.223929845208716,7.024556940966043,Stayed,41,Urban,Charter,High,77.3846657999541,8355.559208867136
5,30,Masters,Traditional,75000,0.0,6.505573987290387,4.139506989679646,Stayed,182,Suburban,Private,High,61.42842443583717,8088.919118799148
5,13,Masters,Traditional,58000,0.0,6.179711588139412,6.629158290154484,Stayed,225,Rural,Charter,High,65.28068134210567,8473.481686914965
5,19,Masters,Traditional,64000,0.0,6.408126522645108,7.082873403560432,Stayed,105,Rural,Private,High,68.3871428833399,9099.869057041513
6,28,Bachelors,Traditional,68000,0.0,3.0109729644259406,4.1543503368154475,Stayed,177,Rural,Charter,Medium,70.13001891877907,11153.113926111533
6,19,Masters,Traditional,64000,0.0,1.6476920509601767,4.485968608879476,Stayed,175,Suburban,Charter,High,72.7669079933002,13289.935427002567
6,29,Bachelors,Traditional,69000,0.0,6.442838701006313,5.164598958781689,Stayed,199,Suburban,Public,Medium,70.58208718446,8248.763493230486
6,10,Masters,Traditional,55000,0.0,6.724095766886532,6.249835816431112,Stayed,158,Suburban,Charter,High,74.73832920911788,7929.515355161252
6,28,Bachelors,Performance-Based,68000,2346.921967780482,8.444406692415875,3.2385146538700296,Stayed,149,Urban,Private,Low,75.21941565616898,8972.266165326613
7,3,Masters,Traditional,48000,0.0,8.082508096064853,3.306422343174156,Stayed,148,Rural,Private,Low,56.795433869157236,8120.240427345289
7,29,Bachelors,Traditional,69000,0.0,4.437245080647239,6.515517504412367,Stayed,270,Rural,Charter,Medium,71.30740577286092,9296.973031917383
7,5,Bachelors,Performance-Based,45000,6000.9550388412645,3.8934825587100077,5.973977708181819,Stayed,165,Rural,Charter,High,79.63376129244321,9775.34390061834
7,24,Bachelors,Performance-Based,64000,4541.567896892816,7.421919936406983,7.16639496722906,Stayed,153,Suburban,Private,High,63.19975278421509,8028.5479073289125
7,11,Masters,Performance-Based,56000,4448.380868796016,3.8849374971333153,5.594845617645856,Stayed,127,Rural,Private,High,60.09463674869312,8070.153078839791
8,10,Masters,Traditional,55000,0.0,6.614316593129172,2.4953312418974,Stayed,273,Urban,Public,High,81.63163752154959,10653.854747528325
8,2,Bachelors,Performance-Based,42000,8529.373868525438,6.454522818269136,7.621970651092874,Stayed,237,Rural,Private,High,49.74857413342393,8279.173269432094
8,11,Bachelors,Traditional,51000,0.0,5.943484464185861,2.8873080554546604,Stayed,261,Suburban,Charter,High,60.730695284219166,10579.549713792825
8,23,Bachelors,Performance-Based,63000,7370.420583021779,4.659921612889306,7.924574120893906,Stayed,118,Suburban,Private,Low,58.31321962380468,10231.349268585718
8,3,Bachelors,Performance-Based,43000,4278.025041488203,7.943645380345471,6.45356262404514,Stayed,163,Rural,Charter,Medium,81.58595579007404,8600.54898401483
9,17,Bachelors,Performance-Based,57000,9556.957456376813,1.0,7.804610660342619,Stayed,202,Urban,Private,High,75.60784526368235,13818.83328094026
9,25,Bachelors,Performance-Based,65000,7114.249866712617,4.754290993797433,5.872785448986092,Stayed,277,Suburban,Charter,High,71.9905969557347,10471.229116217131
9,11,Bachelors,Traditional,51000,0.0,5.433257880400182,4.666407920168236,Stayed,225,Rural,Charter,High,65.28068134210567,8473.481686914965
9,29,Bachelors,Traditional,69000,0.0,6.190360479535958,3.832542911896531,Stayed,118,Suburban,Private,Low,58.31321962380468,10231.349268585718
9,11,Bachelors,Traditional,51000,0.0,7.1809708389921925,6.968137924624465,Stayed,42,Suburban,Charter,Low,71.7136828118997,10487.374422983825
10,10,Masters,Traditional,55000,0.0,4.55561052103551,5.827795482964251,Stayed,284,Urban,Public,Low,57.62184501173151,14541.38571560879
10,17,Bachelors,Performance-Based,57000,4862.038679308416,1.0,5.657949711356512,Stayed,177,Rural,Charter,Medium,70.13001891877907,11153.113926111533
10,22,Bachelors,Traditional,62000,0.0,7.471305599425676,5.384044601470814,Stayed,285,Rural,Private,Low,91.33033374656267,10363.73251011699
10,12,Masters,Performance-Based,57000,6965.381967891028,5.802274245909569,9.946938463995624,Stayed,275,Urban,Private,Low,60.18491348952049,11658.81116236698
10,10,Masters,Traditional,55000,0.0,6.762847764894702,6.20988987187053,Stayed,250,Suburban,Charter,High,74.04981710960955,8792.02962656836
11,28,Masters,Traditional,73000,0.0,6.3719427387903265,7.182391712488499,Stayed,85,Rural,Charter,Low,61.91506397106812,8481.734676892604
11,2,Masters,Traditional,47000,0.0,7.776488530703684,3.9113842802698016,Left,269,Suburban,Public,Medium,65.59955513303017,6258.416157948289
11,19,Bachelors,Traditional,59000,0.0,7.220811744054404,4.66618779174329,Stayed,299,Suburban,Public,Low,78.1286211883896,9111.413479847777
11,29,Bachelors,Traditional,69000,0.0,4.713977137409454,3.8023414288744197,Stayed,17,Rural,Charter,Low,59.87168879665576,11363.905942589929
11,4,Bachelors,Traditional,44000,0.0,5.536190120534001,6.580462694911759,Stayed,66,Rural,Private,Low,83.56240028570824,9197.559056228327
12,3,Doctorate,Performance-Based,53000,4744.608298778457,7.1102905774222425,3.8678197391371487,Stayed,128,Urban,Private,Medium,64.33702270397228,11372.102919996878
12,15,Masters,Traditional,60000,0.0,6.814159031889162,5.911350296497038,Stayed,124,Rural,Private,High,55.98148937207719,11943.141901908712
12,11,Bachelors,Traditional,51000,0.0,4.721230025520734,5.561877664176468,Stayed,165,Rural,Charter,High,79.63376129244321,9775.34390061834
12,2,Bachelors,Traditional,42000,0.0,5.426757498877486,4.947517264254557,Left,1,Rural,Charter,Low,74.96714153011233,8342.009978155855
12,11,Bachelors,Traditional,51000,0.0,9.656200953453265,3.5829639686953545,Left,9,Suburban,Charter,High,65.30525614065049,11094.194762340076
13,3,Bachelors,Traditional,43000,0.0,10.0,5.749606430168165,Stayed,271,Suburban,Private,High,84.41273289066116,10036.836758379104
13,12,Bachelors,Traditional,52000,0.0,7.798892664055827,4.538321574980282,Stayed,272,Urban,Private,Medium,55.6413784882056,13352.874624550564
13,27,Bachelors,Traditional,67000,0.0,6.011652367035696,4.88834985634993,Stayed,133,Suburban,Private,Low,59.37696286273895,9461.186331110885
13,15,Bachelors,Traditional,55000,0.0,7.9310081463260165,6.037431021426301,Left,151,Suburban,Charter,High,72.50492850345877,9874.641805453657
13,17,Masters,Traditional,62000,0.0,8.929222682659663,6.929402920106901,Stayed,89,Rural,Private,Low,64.70239796232961,11900.847676372101
14,6,Bachelors,Traditional,46000,0.0,8.593314776370567,7.0322677585598745,Stayed,34,Urban,Charter,High,59.422890710440996,8645.676576975777
14,9,Masters,Traditional,54000,0.0,8.542963945454598,5.644427328698879,Stayed,14,Rural,Charter,High,50.86719755342202,11627.019272001276
14,23,Bachelors,Traditional,63000,0.0,7.311531530744666,3.1235055035272294,Stayed,178,Urban,Public,High,84.53534077157317,10622.500309087072
14,7,Masters,Traditional,52000,0.0,10.0,5.6699595972756285,Stayed,130,Rural,Public,Medium,64.965243458838,6482.521027153771
14,18,Bachelors,Traditional,58000,0.0,6.680091436051313,7.035285161328333,Left,225,Rural,Charter,High,65.28068134210567,8473.481686914965
15,30,Masters,Traditional,75000,0.0,6.460844088962647,4.8996855132840995,Stayed,45,Suburban,Charter,Medium,55.214780096325725,9057.923388763355
15,27,Bachelors,Traditional,67000,0.0,6.004561072926885,2.89226011645331,Stayed,251,Suburban,Private,Medium,57.391160456649544,10173.1795749458
15,28,Doctorate,Performance-Based,78000,6002.06668703469,8.037773990444961,6.424821236487124,Stayed,130,Rural,Public,Medium,64.965243458838,6482.521027153771
15,11,Masters,Traditional,56000,0.0,8.883634188360281,3.658089046670744,Stayed,57,Suburban,Charter,Medium,61.607824767773614,9962.97372801522
15,12,Masters,Traditional,57000,0.0,9.000789429641072,5.476722598443706,Stayed,164,Suburban,Charter,Medium,61.7931768164829,10427.959821468445
16,4,Masters,Traditional,49000,0.0,6.024122737664715,6.56531886392983,Stayed,149,Urban,Private,Low,75.21941565616898,8972.266165326613
16,18,Bachelors,Traditional,58000,0.0,3.029120680153737,6.094314149953721,Stayed,223,Suburban,Private,Low,76.86260190374513,8674.752482108306
16,12,Bachelors,Traditional,52000,0.0,7.123425983913136,6.598220562598026,Stayed,211,Urban,Private,High,75.70890510693167,10540.913651559678
16,3,Doctorate,Performance-Based,53000,4951.445440216116,4.8895520017424765,4.091886513223157,Stayed,103,Urban,Public,High,66.57285483473231,10010.487399436366
16,25,Bachelors,Performance-Based,65000,6135.706947542543,5.1089949571984565,8.680076715676552,Stayed,80,Urban,Charter,Low,50.124310853991076,8383.403429289698
17,7,Masters,Traditional,52000,0.0,9.60659414311669,5.252714239122477,Stayed,299,Suburban,Public,Low,78.1286211883896,9111.413479847777
17,17,Masters,Performance-Based,62000,4399.279023822743,4.39042616667935,4.990826160374756,Stayed,48,Urban,Public,High,80.57122226218915,7185.07245124689
17,30,Bachelors,Traditional,70000,0.0,5.4236320632577195,2.6130282561861393,Stayed,92,Suburban,Charter,High,79.68644990532889,10983.83834301301
17,21,Bachelors,Performance-Based,61000,6273.26296882563,5.930630225226437,6.851322098804781,Left,237,Rural,Private,High,49.74857413342393,8279.173269432094
17,17,Bachelors,Performance-Based,57000,3093.0816580561973,5.449752027305851,7.3446183109588565,Stayed,79,Rural,Private,Medium,70.91760776535503,14379.605866435344
18,7,Bachelors,Traditional,47000,0.0,4.7012089871240175,8.46458413310928,Stayed,289,Urban,Private,Low,72.80991867735032,11660.671633088492
18,25,Masters,Traditional,70000,0.0,6.004154629680001,4.854350648895015,Stayed,236,Rural,Charter,Low,76.33919022318011,10094.797342632828
18,8,Bachelors,Performance-Based,48000,5108.637772908473,6.332904416426112,7.238676896012223,Stayed,9,Suburban,Charter,High,65.30525614065049,11094.194762340076
18,21,Bachelors,Performance-Based,61000,4743.576947809778,4.99772006544286,7.202845240057284,Stayed,245,Rural,Private,Low,57.997035929442234,5056.710999745422
18,22,Bachelors,Traditional,62000,0.0,7.7622846662381955,4.439901097435146,Stayed,152,Urban,Public,High,73.46448209496975,11910.284641002476
19,18,Bachelors,Traditional,58000,0.0,5.239644689481812,5.254479334206277,Left,204,Urban,Private,Low,80.53802052034902,11125.938473381142
19,3,Masters,Traditional,48000,0.0,6.995481095224241,4.171665433578543,Stayed,133,Suburban,Private,Low,59.37696286273895,9461.186331110885
19,24,Masters,Traditional,69000,0.0,7.949397726633266,1.6314992015092455,Left,222,Urban,Private,Low,51.32734807408252,11086.72038475987
19,27,Bachelors,Traditional,67000,0.0,5.682443219360824,5.815248654184013,Stayed,109,Rural,Private,High,72.57550390722764,10240.591263423797
19,5,Masters,Traditional,50000,0.0,8.625414480858206,3.640946308246588,Stayed,205,Rural,Charter,High,56.22330632042909,8698.714861756347
20,28,Bachelors,Performance-Based,68000,6949.70056939226,3.2413615439709456,5.4036049400871216,Stayed,86,Urban,Private,Medium,64.98242956415463,10300.787572952415
20,5,Masters,Performance-Based,50000,5091.1843289400995,4.738015740252106,7.861242152625883,Stayed,150,Rural,Private,High,72.96984673233186,7881.572956222097
20,3,Masters,Traditional,48000,0.0,7.05384182465155,6.98581220568082,Stayed,157,Rural,Charter,Low,88.65774511144757,9785.939280090884
20,27,Masters,Traditional,72000,0.0,5.302275786800957,5.614120126803695,Stayed,93,Urban,Charter,High,62.979469061226474,7359.533585958716
20,24,Bachelors,Traditional,64000,0.0,7.956959905226159,5.885982246038464,Stayed,204,Urban,Private,Low,80.53802052034902,11125.938473381142
21,1,Bachelors,Traditional,41000,0.0,8.663055370874362,4.6006437017578135,Stayed,112,Rural,Private,High,69.73486124550783,7750.715816324262
21,13,Masters,Traditional,58000,0.0,6.597045912419046,5.753624948280541,Stayed,70,Rural,Charter,Low,63.54880245394876,8453.980432289067
21,10,Bachelors,Performance-Based,50000,6714.891863434812,6.635610338403768,5.555725177926374,Left,76,Rural,Charter,Medium,78.21902504375224,8465.3048742239
21,28,Bachelors,Performance-Based,68000,4665.763839366291,6.293427372866645,8.309763449762535,Stayed,33,Rural,Private,Low,69.86502775262066,10151.609116387453
21,18,Masters,Performance-Based,63000,3366.128658025528,6.836505109572001,7.100618043857655,Stayed,35,Rural,Private,Low,78.22544912103189,11950.239466835503
22,29,Bachelors,Traditional,69000,0.0,5.826856472091297,4.077472982990305,Stayed,189,Rural,Public,High,61.532062819315954,13374.28327014513
22,13,Bachelors,Performance-Based,53000,5382.198136039807,6.092873096312298,4.460215788530121,Stayed,212,Suburban,Private,High,81.35565640180599,9899.523781101727
22,28,Bachelors,Traditional,68000,0.0,8.119380349040831,4.413592145502163,Stayed,280,Urban,Charter,High,66.14686403138239,12287.508086413858
22,7,Bachelors,Traditional,47000,0.0,5.994352649430611,5.807033532195266,Stayed,202,Urban,Private,High,75.60784526368235,13818.83328094026
22,28,Bachelors,Traditional,68000,0.0,7.071931075424659,5.911844764574809,Stayed,238,Rural,Charter,Medium,71.86454314769428,9230.888911540349
23,29,Bachelors,Traditional,69000,0.0,7.279913684734537,4.166679900779869,Stayed,115,Urban,Public,Medium,68.07639035218878,10664.628023959183
23,4,Bachelors,Traditional,44000,0.0,7.737689583099419,4.720441408455362,Stayed,1,Rural,Charter,Low,74.96714153011233,8342.009978155855
23,17,Masters,Traditional,62000,0.0,6.39300126503943,6.127853927049047,Stayed,123,Rural,Public,Medium,84.02794310936099,9502.071703041853
23,22,Doctorate,Traditional,72000,0.0,8.465348617055598,6.792569943387264,Stayed,77,Rural,Private,Low,70.87047068238171,11744.641273441357
23,27,Masters,Traditional,72000,0.0,4.715219642824338,4.120177867217985,Stayed,58,Urban,Public,Medium,66.90787624148786,9422.682722159723
24,27,Bachelors,Traditional,67000,0.0,9.866206882688179,5.550653400182101,Stayed,36,Suburban,Private,Medium,57.791563500289776,9705.885236995722
24,7,Bachelors,Traditional,47000,0.0,6.211291919030565,6.704907157556841,Stayed,76,Rural,Charter,Medium,78.21902504375224,8465.3048742239
24,11,Bachelors,Traditional,51000,0.0,6.3145490146338625,4.167200709960202,Stayed,78,Suburban,Charter,Medium,67.00992649534132,10366.684011476704
24,14,Bachelors,Traditional,54000,0.0,9.821735604160885,6.017449116788061,Stayed,262,Urban,Charter,High,69.404746439382,14150.801597290878
24,3,Masters,Traditional,48000,0.0,6.927955703928735,3.155195932638778,Stayed,104,Rural,Charter,Medium,61.97722730778381,10093.961187529485
25,23,Masters,Traditional,68000,0.0,6.733389517768891,4.186092737362583,Stayed,99,Suburban,Private,Low,70.05113456642461,9770.920309494764
25,2,Bachelors,Traditional,42000,0.0,8.315652968179439,3.914844778839762,Stayed,295,Rural,Private,Medium,73.57015485965047,12075.079888515798
25,11,Bachelors,Traditional,51000,0.0,8.096718293886411,4.666380832316651,Stayed,111,Suburban,Private,Medium,50.812287847009586,11423.22975617778
25,21,Masters,Traditional,66000,0.0,5.279562056899842,2.2298413482928976,Stayed,293,Suburban,Private,Low,64.10635243055789,10957.959651492783
25,26,Bachelors,Traditional,66000,0.0,6.149995881234842,4.638145913215505,Stayed,31,Urban,Charter,Low,63.98293387770603,9975.50645430617
26,29,Bachelors,Traditional,69000,0.0,7.528083094771445,5.530644168487802,Stayed,63,Suburban,Public,Low,58.93665025993972,9782.479703086285
26,24,Bachelors,Traditional,64000,0.0,6.568071667145791,6.425754132923937,Stayed,26,Suburban,Private,Low,71.10922589709867,7571.622774424535
26,16,Masters,Traditional,61000,0.0,6.485536257546056,3.1763699387491244,Stayed,217,Urban,Public,Medium,62.27174785462428,11001.834375248762
26,25,Masters,Traditional,70000,0.0,7.231370970601102,5.5140880195665565,Left,151,Suburban,Charter,High,72.50492850345877,9874.641805453657
26,15,Masters,Performance-Based,60000,5913.506438307568,9.253038943399364,2.7780575201521973,Stayed,19,Urban,Public,Low,60.91975924478789,10648.332704976885
27,7,Masters,Performance-Based,52000,3111.262444913895,6.646491525817959,8.373802651231301,Stayed,214,Rural,Private,High,76.51391251305797,8184.872675916804
27,25,Masters,Performance-Based,70000,5982.809134038995,3.147748934661406,7.409247635917184,Stayed,202,Urban,Private,High,75.60784526368235,13818.83328094026
27,9,Masters,Performance-Based,54000,4919.684098711313,3.1384497957639037,6.692156622366184,Stayed,68,Urban,Private,Low,80.03532897892023,10025.18480156359
27,21,Masters,Traditional,66000,0.0,5.978422513787679,2.819860254088391,Stayed,55,Urban,Public,Medium,80.30999522495951,9961.967584194623
27,13,Bachelors,Traditional,53000,0.0,9.947991262680569,4.8215030364036595,Stayed,231,Urban,Charter,High,62.69633368282864,11277.184917554749
28,30,Doctorate,Traditional,80000,0.0,5.2331550355291405,4.321540521126385,Stayed,172,Urban,Charter,Low,61.841897150345616,5396.157670528831
28,6,Bachelors,Traditional,46000,0.0,3.364181010056565,6.53528228369849,Stayed,235,Suburban,Public,Medium,91.43944089325325,8696.327784395682
28,1,Bachelors,Traditional,41000,0.0,5.359556580904908,6.409772155294531,Stayed,88,Suburban,Public,Medium,73.28751109659684,13752.341678431772
28,9,Bachelors,Traditional,49000,0.0,8.269020317006904,4.994596191364147,Stayed,27,Suburban,Public,Low,58.490064225776976,12316.221747000136
28,22,Bachelors,Traditional,62000,0.0,5.262452966211185,4.085756627272912,Stayed,16,Suburban,Public,Medium,64.37712470759027,10042.007683265518
29,8,Bachelors,Traditional,48000,0.0,5.280263188600648,3.6855219980387277,Stayed,117,Urban,Charter,High,69.65288230294756,13102.303951045045
29,13,Bachelors,Performance-Based,53000,5075.320466335876,3.2292562686605355,4.839020729980533,Stayed,277,Suburban,Charter,High,71.9905969557347,10471.229116217131
29,6,Bachelors,Traditional,46000,0.0,9.696529790274283,5.961264291900514,Stayed,20,Suburban,Charter,High,55.87696298664709,9739.713891264631
29,18,Bachelors,Traditional,58000,0.0,7.527836601859654,5.1991710473962325,Stayed,139,Urban,Public,Medium,78.1351721736967,6593.23512128969
29,29,Masters,Performance-Based,74000,8623.960248269743,6.715851457383537,7.089894727075516,Stayed,128,Urban,Private,Medium,64.33702270397228,11372.102919996878
30,30,Masters,Traditional,75000,0.0,8.022167620535928,5.777100415767637,Stayed,34,Urban,Charter,High,59.422890710440996,8645.676576975777
30,7,Bachelors,Traditional,47000,0.0,8.961979955710158,5.977113921390534,Stayed,228,Rural,Private,Low,59.22255222070694,10096.169893322764
30,6,Bachelors,Traditional,46000,0.0,9.964816410592341,4.703070310147504,Stayed,18,Rural,Public,Low,73.14247332595274,9379.466486813088
30,3,Doctorate,Traditional,53000,0.0,8.975917340096778,7.528472452128748,Stayed,297,Rural,Public,Medium,78.9959987543325,9460.250129413258
30,12,Masters,Traditional,57000,0.0,6.30955683370923,4.022872994578328,Stayed,121,Rural,Charter,Medium,77.91031947043047,14121.495849763975
31,13,Masters,Performance-Based,58000,4032.228331891357,2.8848344282765326,8.081545322580805,Stayed,233,Rural,Private,High,70.45571839903813,9867.840402705368
31,14,Bachelors,Traditional,54000,0.0,5.452635629694763,4.20605264368067,Stayed,252,Rural,Charter,Medium,79.17861947054776,9688.64552921584
31,23,Doctorate,Traditional,73000,0.0,6.1555094926965,4.877223902767913,Stayed,86,Urban,Private,Medium,64.98242956415463,10300.787572952415
31,12,Bachelors,Performance-Based,52000,8455.086340201422,6.872647339348064,6.557005217252301,Left,44,Urban,Charter,High,66.98896304410711,8986.11364925774
31,10,Masters,Traditional,55000,0.0,7.1800469900773916,2.9454527304723994,Left,228,Rural,Private,Low,59.22255222070694,10096.169893322764
32,22,Masters,Traditional,67000,0.0,6.288738525355145,6.636569153247001,Stayed,141,Suburban,Public,High,72.2745993460413,10768.130897878615
32,26,Masters,Performance-Based,71000,4778.533141838609,5.033627075401252,8.860980144935048,Stayed,256,Suburban,Public,Low,65.15765927133748,9176.246067755066
32,4,Masters,Traditional,49000,0.0,8.310674561440173,6.152185752702075,Stayed,165,Rural,Charter,High,79.63376129244321,9775.34390061834
32,28,Doctorate,Traditional,78000,0.0,4.657289707906792,8.002605653795204,Stayed,267,Urban,Charter,High,86.32411303931636,5923.750929644292
32,21,Masters,Traditional,66000,0.0,9.353063516516395,2.6846932822473315,Stayed,290,Suburban,Charter,Low,63.77300480179406,8287.832348182266
33,15,Masters,Traditional,60000,0.0,6.74105905008877,6.3254899062300085,Stayed,244,Suburban,Private,Medium,78.65755194170121,12883.1372413158
33,10,Bachelors,Traditional,50000,0.0,5.0841693011153755,2.6768302662316823,Stayed,44,Urban,Charter,High,66.98896304410711,8986.11364925774
33,18,Bachelors,Traditional,58000,0.0,9.065205239318395,6.165524143635934,Stayed,35,Rural,Private,Low,78.22544912103189,11950.239466835503
33,3,Masters,Performance-Based,48000,4047.3987180623444,8.776625402867616,8.989921404087932,Left,77,Rural,Private,Low,70.87047068238171,11744.641273441357
33,14,Bachelors,Traditional,54000,0.0,8.913466723938662,4.961668893512832,Stayed,165,Rural,Charter,High,79.63376129244321,9775.34390061834
34,30,Bachelors,Traditional,70000,0.0,8.759093528889046,4.700090227114447,Stayed,229,Urban,Private,High,62.84696290740032,10519.445003442965
34,14,Bachelors,Traditional,54000,0.0,5.728714760365285,1.6483603365286958,Stayed,60,Urban,Public,Low,79.75545127122359,8345.538112895354
34,2,Bachelors,Traditional,42000,0.0,7.352799743282051,5.402325212416543,Stayed,251,Suburban,Private,Medium,57.391160456649544,10173.1795749458
34,25,Masters,Traditional,70000,0.0,5.9295751663888545,3.0579777864186415,Stayed,300,Rural,Private,Low,76.29628841923612,10754.600986089705
34,8,Bachelors,Performance-Based,48000,7321.653574757039,2.7630843326394485,8.81900622140019,Left,53,Urban,Charter,Low,63.23077999694041,11715.319246404038
35,23,Bachelors,Traditional,63000,0.0,4.666152024265157,4.591406044250286,Left,178,Urban,Public,High,84.53534077157317,10622.500309087072
35,3,Masters,Traditional,48000,0.0,4.121987864452274,4.013340859166467,Stayed,237,Rural,Private,High,49.74857413342393,8279.173269432094
35,29,Masters,Traditional,74000,0.0,8.49440022917071,4.259365125258031,Stayed,230,Urban,Private,Medium,76.79597748934675,8191.366749791183
35,1,Bachelors,Performance-Based,41000,9379.500575618375,3.4801600672536885,4.555247348778757,Stayed,34,Urban,Charter,High,59.422890710440996,8645.676576975777
35,11,Masters,Traditional,56000,0.0,4.731106748741777,6.270618514977552,Stayed,252,Rural,Charter,Medium,79.17861947054776,9688.64552921584
36,5,Bachelors,Traditional,45000,0.0,8.83375137233032,6.060817524518574,Stayed,183,Urban,Private,High,59.29107501938888,6787.107359484855
36,24,Bachelors,Performance-Based,64000,6940.597774520122,8.060566908063684,6.85818373853977,Left,64,Urban,Private,High,58.037933759193294,10803.423444197882
36,12,Bachelors,Traditional,52000,0.0,6.2253265874172765,5.06636578133566,Stayed,166,Rural,Private,High,74.12780926936499,9558.060800933554
36,14,Bachelors,Traditional,54000,0.0,7.072577677428705,3.968684822990613,Stayed,162,Urban,Private,High,77.87084603742451,10070.527103943457
36,20,Bachelors,Traditional,60000,0.0,7.223765890517403,4.2834797811586895,Stayed,68,Urban,Private,Low,80.03532897892023,10025.18480156359
37,3,Masters,Traditional,48000,0.0,8.098960115823369,4.878925129837127,Stayed,205,Rural,Charter,High,56.22330632042909,8698.714861756347
37,5,Bachelors,Traditional,45000,0.0,7.286406626159973,3.6581551513793236,Left,134,Urban,Private,High,74.73592430635182,11435.084511591926
37,12,Bachelors,Traditional,52000,0.0,7.209013890431897,5.678802337732002,Stayed,105,Rural,Private,High,68.3871428833399,9099.869057041513
37,25,Bachelors,Performance-Based,65000,1911.0710127870648,7.006858165203756,3.317666087916774,Left,83,Rural,Private,High,84.77894044741517,5752.208551380386
37,6,Bachelors,Traditional,46000,0.0,7.4394902911779335,6.662274225106275,Stayed,256,Suburban,Public,Low,65.15765927133748,9176.246067755066
38,10,Doctorate,Traditional,60000,0.0,5.440141109311703,3.9009737131135713,Stayed,291,Rural,Private,Low,67.91877749642725,10143.132474438786
38,21,Bachelors,Traditional,61000,0.0,7.758140719937226,5.414853728892392,Stayed,293,Suburban,Private,Low,64.10635243055789,10957.959651492783
38,6,Masters,Traditional,51000,0.0,6.023929693982366,4.71397639885498,Stayed,248,Urban,Charter,High,63.46670767426288,9593.909227914015
38,2,Bachelors,Traditional,42000,0.0,7.326149309769584,4.845733755295895,Stayed,172,Urban,Charter,Low,61.841897150345616,5396.157670528831
38,18,Bachelors,Performance-Based,58000,4946.411306728673,7.92593105822826,6.9614311331765775,Stayed,1,Rural,Charter,Low,74.96714153011233,8342.009978155855
